x,y,z
511.08889927,210.448104458,-399.106873251
472.880215498,-576.90273955,-793.78503526
-625.795166655,647.123619393,215.053257099
-543.107754368,738.179402606,24.8041466869
-72.0898042837,-853.066567037,-773.466008628
1735.81532357,-972.093897901,-408.709593762
-72.0339872473,-1378.70994703,3789.08383107
67.903724212,-235.409060443,-218.47914337
14.8121661219,-1247.76458001,-243.535146944
-200.969620849,151.526208118,-285.438519405
-94.3038134812,-930.881589213,-266.57342957
-713.8795158,-282.800748076,-124.071818171
36.0695422038,-777.390530233,-56.9698338885
-53.0188853815,-787.816254698,-763.987675523
-658.293112118,699.662169712,-144.231151157
-154.249579682,-842.458994395,-556.107144308
